scan	shotNumber	mgspcImgMissed	cam1_pC	cam2_pC	cam3_pC	cam4_pC
7.00000e+00	7.50000e+01	0.00000e+00	4.35047e+01	1.07493e+01	1.79819e-01	7.40716e-01
7.00000e+00	7.60000e+01	0.00000e+00	4.54142e+01	1.17802e+01	1.89883e-01	8.03404e-01
7.00000e+00	7.70000e+01	0.00000e+00	4.44361e+01	1.24116e+01	2.65715e-01	9.37935e-01
7.00000e+00	7.80000e+01	0.00000e+00	4.25216e+01	1.57032e+01	1.52807e-01	5.51295e-01
7.00000e+00	7.90000e+01	0.00000e+00	3.61878e+01	1.08909e+01	1.42898e-01	5.04291e-01
7.00000e+00	8.00000e+01	0.00000e+00	3.86530e+01	9.54471e+00	2.35974e-01	6.18823e-01
7.00000e+00	8.10000e+01	0.00000e+00	4.35669e+01	1.02293e+01	1.72048e-01	6.78938e-01
7.00000e+00	8.20000e+01	0.00000e+00	4.44348e+01	8.30006e+00	1.64621e-01	6.00071e-01
7.00000e+00	8.30000e+01	0.00000e+00	4.25768e+01	9.06626e+00	1.44928e-01	7.25221e-01
7.00000e+00	8.40000e+01	0.00000e+00	4.18507e+01	9.72442e+00	1.86892e-01	5.47265e-01
7.00000e+00	8.50000e+01	0.00000e+00	4.28936e+01	9.31946e+00	1.95191e-01	5.58711e-01
7.00000e+00	8.60000e+01	0.00000e+00	3.36481e+01	8.03651e+00	1.19004e-01	4.04011e-01
7.00000e+00	8.70000e+01	0.00000e+00	3.85323e+01	9.99451e+00	1.88662e-01	7.30054e-01
7.00000e+00	8.80000e+01	0.00000e+00	3.89632e+01	8.64684e+00	1.77130e-01	6.10433e-01
7.00000e+00	8.90000e+01	0.00000e+00	4.03745e+01	8.69750e+00	1.16567e-01	5.38258e-01
7.00000e+00	9.00000e+01	0.00000e+00	3.66034e+01	1.13522e+01	1.17887e-01	4.06518e-01
7.00000e+00	9.10000e+01	0.00000e+00	3.87785e+01	7.94622e+00	2.04171e-01	6.32486e-01
7.00000e+00	9.20000e+01	0.00000e+00	3.96064e+01	7.19849e+00	2.39928e-01	8.18917e-01
7.00000e+00	9.30000e+01	0.00000e+00	4.65774e+01	9.18055e+00	1.93525e-01	8.17043e-01
7.00000e+00	9.40000e+01	0.00000e+00	4.44801e+01	8.48586e+00	1.65304e-01	6.28865e-01
7.00000e+00	9.50000e+01	0.00000e+00	3.97407e+01	5.60357e+00	1.84667e-01	6.35609e-01
7.00000e+00	9.60000e+01	0.00000e+00	4.56946e+01	8.60681e+00	1.87062e-01	6.83893e-01
7.00000e+00	9.70000e+01	0.00000e+00	3.94741e+01	8.72631e+00	1.70597e-01	7.10029e-01
7.00000e+00	9.80000e+01	0.00000e+00	3.59582e+01	5.21317e+00	1.41063e-01	6.58501e-01
7.00000e+00	9.90000e+01	0.00000e+00	3.43029e+01	5.86726e+00	1.32923e-01	4.29298e-01
7.00000e+00	1.00000e+02	0.00000e+00	3.20763e+01	8.47537e+00	1.89258e-01	6.66176e-01
7.00000e+00	1.01000e+02	0.00000e+00	3.74052e+01	6.06634e+00	1.58883e-01	6.33570e-01
7.00000e+00	1.02000e+02	0.00000e+00	4.11698e+01	5.86148e+00	1.41309e-01	6.64656e-01
7.00000e+00	1.03000e+02	0.00000e+00	4.21252e+01	7.50057e+00	1.53327e-01	7.22955e-01
7.00000e+00	1.04000e+02	0.00000e+00	4.30504e+01	6.61513e+00	1.32310e-01	5.96728e-01
7.00000e+00	1.05000e+02	0.00000e+00	3.84118e+01	5.14714e+00	1.49816e-01	5.97888e-01
7.00000e+00	1.06000e+02	0.00000e+00	4.35746e+01	7.54474e+00	1.75096e-01	7.16204e-01
7.00000e+00	1.07000e+02	0.00000e+00	4.02494e+01	5.98578e+00	1.42132e-01	5.09258e-01
7.00000e+00	1.08000e+02	0.00000e+00	3.54660e+01	5.30228e+00	1.11041e-01	5.59331e-01
7.00000e+00	1.09000e+02	0.00000e+00	4.16831e+01	5.42240e+00	1.59299e-01	5.59888e-01
7.00000e+00	1.10000e+02	0.00000e+00	4.14172e+01	5.31476e+00	1.30145e-01	5.26489e-01
7.00000e+00	1.11000e+02	0.00000e+00	3.75454e+01	4.86263e+00	1.46872e-01	5.93180e-01
7.00000e+00	1.12000e+02	0.00000e+00	4.13364e+01	5.07255e+00	1.39155e-01	6.24278e-01
7.00000e+00	1.13000e+02	0.00000e+00	4.24363e+01	6.46285e+00	1.65740e-01	6.65652e-01
7.00000e+00	1.14000e+02	0.00000e+00	4.15526e+01	5.88738e+00	1.61390e-01	5.83253e-01
7.00000e+00	1.15000e+02	0.00000e+00	4.33761e+01	6.76082e+00	1.72650e-01	6.36928e-01
7.00000e+00	1.16000e+02	0.00000e+00	4.15703e+01	4.74607e+00	1.47672e-01	4.63876e-01
7.00000e+00	1.17000e+02	0.00000e+00	3.96401e+01	5.31466e+00	1.30965e-01	5.34419e-01
7.00000e+00	1.18000e+02	0.00000e+00	4.04626e+01	5.26701e+00	1.05477e-01	5.92713e-01
7.00000e+00	1.19000e+02	0.00000e+00	3.88839e+01	4.81449e+00	1.81030e-01	6.70565e-01
7.00000e+00	1.20000e+02	0.00000e+00	4.33601e+01	5.41194e+00	1.47830e-01	5.29329e-01
7.00000e+00	1.21000e+02	0.00000e+00	4.41904e+01	4.95126e+00	1.48634e-01	4.82928e-01
7.00000e+00	1.22000e+02	0.00000e+00	3.96851e+01	4.12186e+00	1.22101e-01	4.81722e-01
7.00000e+00	1.23000e+02	0.00000e+00	4.29166e+01	4.60018e+00	1.16874e-01	4.79247e-01
7.00000e+00	1.24000e+02	0.00000e+00	4.20140e+01	5.53325e+00	1.74907e-01	5.35672e-01
7.00000e+00	1.25000e+02	0.00000e+00	4.41447e+01	4.95708e+00	1.55816e-01	5.30430e-01
7.00000e+00	1.26000e+02	0.00000e+00	3.78176e+01	4.94207e+00	1.06214e-01	5.25233e-01
7.00000e+00	1.27000e+02	0.00000e+00	3.86277e+01	5.41457e+00	1.46539e-01	5.07190e-01
7.00000e+00	1.28000e+02	0.00000e+00	4.07677e+01	5.72619e+00	1.36924e-01	6.22906e-01
7.00000e+00	1.29000e+02	0.00000e+00	4.12319e+01	6.41115e+00	1.66137e-01	6.23507e-01
7.00000e+00	1.30000e+02	0.00000e+00	4.10141e+01	4.80111e+00	1.36111e-01	5.71765e-01
7.00000e+00	1.31000e+02	0.00000e+00	3.65397e+01	4.70305e+00	1.09198e-01	4.82840e-01
7.00000e+00	1.32000e+02	0.00000e+00	3.79886e+01	5.05060e+00	1.12696e-01	4.47426e-01
7.00000e+00	1.33000e+02	0.00000e+00	3.58010e+01	3.88786e+00	1.26745e-01	5.01460e-01
7.00000e+00	1.34000e+02	0.00000e+00	2.89505e+01	4.94353e+00	1.07911e-01	4.31210e-01
7.00000e+00	1.35000e+02	0.00000e+00	3.07294e+01	5.35147e+00	1.21234e-01	4.70512e-01
7.00000e+00	1.36000e+02	0.00000e+00	2.86580e+01	5.50084e+00	1.20319e-01	3.82511e-01
7.00000e+00	1.37000e+02	0.00000e+00	3.94271e+01	5.21970e+00	1.45087e-01	4.71674e-01
7.00000e+00	1.38000e+02	0.00000e+00	4.07854e+01	4.80322e+00	9.39449e-02	5.04653e-01
7.00000e+00	1.39000e+02	0.00000e+00	4.08870e+01	5.06575e+00	1.27646e-01	5.88925e-01
7.00000e+00	1.40000e+02	0.00000e+00	3.91738e+01	4.75432e+00	1.08998e-01	4.91395e-01
7.00000e+00	1.41000e+02	0.00000e+00	3.60750e+01	5.07790e+00	1.22801e-01	4.55784e-01
7.00000e+00	1.42000e+02	0.00000e+00	3.71265e+01	4.60633e+00	9.17206e-02	3.88455e-01
7.00000e+00	1.43000e+02	0.00000e+00	3.00363e+01	5.64911e+00	1.07260e-01	4.63688e-01
7.00000e+00	1.44000e+02	0.00000e+00	3.48452e+01	5.19435e+00	1.14919e-01	4.06899e-01
7.00000e+00	1.45000e+02	0.00000e+00	2.65118e+01	5.04243e+00	8.36135e-02	3.76392e-01
7.00000e+00	1.46000e+02	0.00000e+00	2.96499e+01	5.14165e+00	9.78446e-02	4.45862e-01
7.00000e+00	1.47000e+02	0.00000e+00	3.75323e+01	4.55456e+00	1.01985e-01	4.17775e-01
7.00000e+00	1.48000e+02	0.00000e+00	2.53129e+01	5.00374e+00	1.05095e-01	3.79070e-01
7.00000e+00	1.49000e+02	0.00000e+00	2.69865e+01	4.47690e+00	1.01862e-01	3.70527e-01
7.00000e+00	1.50000e+02	0.00000e+00	3.30851e+01	5.49695e+00	1.15771e-01	4.95514e-01
7.00000e+00	1.51000e+02	0.00000e+00	2.99728e+01	3.61570e+00	7.37408e-02	3.42728e-01
7.00000e+00	1.52000e+02	0.00000e+00	3.05222e+01	4.90720e+00	1.03794e-01	4.48132e-01
7.00000e+00	1.53000e+02	0.00000e+00	2.64751e+01	4.94219e+00	9.07605e-02	4.19986e-01
7.00000e+00	1.54000e+02	0.00000e+00	3.01590e+01	5.68997e+00	9.68145e-02	4.52580e-01
7.00000e+00	1.55000e+02	0.00000e+00	2.79794e+01	4.62981e+00	1.03264e-01	4.05953e-01
7.00000e+00	1.56000e+02	0.00000e+00	2.47297e+01	4.52792e+00	8.28139e-02	3.55796e-01
7.00000e+00	1.57000e+02	0.00000e+00	2.86485e+01	4.64143e+00	8.75712e-02	3.46333e-01
7.00000e+00	1.58000e+02	0.00000e+00	3.16472e+01	4.76790e+00	1.19319e-01	4.55775e-01
7.00000e+00	1.59000e+02	0.00000e+00	3.52736e+01	5.91005e+00	1.16973e-01	4.95898e-01
7.00000e+00	1.60000e+02	0.00000e+00	3.20270e+01	6.10912e+00	1.20091e-01	5.00703e-01
