# wavelength [nm], transmission T [%]
2.180000000000000000e+02,7.980976320479041597e+00
2.185000000000000000e+02,7.333073816366848519e+00
2.190000000000000000e+02,6.909542867449484760e+00
2.195000000000000000e+02,6.480346526776722627e+00
2.200000000000000000e+02,5.717702166018929333e+00
2.205000000000000000e+02,4.958330354676928842e+00
2.210000000000000000e+02,4.692305456557535948e+00
2.215000000000000000e+02,5.045147713191438399e+00
2.220000000000000000e+02,6.517479007378603306e+00
2.225000000000000000e+02,8.815799943272393691e+00
2.230000000000000000e+02,1.030271650725473975e+01
2.235000000000000000e+02,1.083608711512324163e+01
2.240000000000000000e+02,1.011863735290862820e+01
2.245000000000000000e+02,7.800970227842318749e+00
2.250000000000000000e+02,4.883441324492761026e+00
2.255000000000000000e+02,3.232696119856312666e+00
2.260000000000000000e+02,2.777179200314937813e+00
2.265000000000000000e+02,2.420932700823823058e+00
2.270000000000000000e+02,1.624619836152912500e+00
2.275000000000000000e+02,1.042100886053470621e+00
2.280000000000000000e+02,1.366057987711240651e+00
2.285000000000000000e+02,2.068856804777478686e+00
2.290000000000000000e+02,2.630979330349634271e+00
2.295000000000000000e+02,4.374753606199319300e+00
2.300000000000000000e+02,6.775796072099492307e+00
2.305000000000000000e+02,8.289387370489967211e+00
2.310000000000000000e+02,8.918540034224681889e+00
2.315000000000000000e+02,8.634149503057532371e+00
2.320000000000000000e+02,7.764049676785702125e+00
2.325000000000000000e+02,7.149030018861940228e+00
2.330000000000000000e+02,7.133187814177088804e+00
2.335000000000000000e+02,7.493942009530252690e+00
2.340000000000000000e+02,7.843619828870142641e+00
2.345000000000000000e+02,8.139555897298123455e+00
2.350000000000000000e+02,8.277689297495564702e+00
2.355000000000000000e+02,7.395176689168200923e+00
2.360000000000000000e+02,5.500822065710742947e+00
2.365000000000000000e+02,4.237916249765446786e+00
2.370000000000000000e+02,4.011163068045714652e+00
2.375000000000000000e+02,4.095553354066450602e+00
2.380000000000000000e+02,3.373886104808266673e+00
2.385000000000000000e+02,2.708212392163387161e+00
2.390000000000000000e+02,2.697654680962980667e+00
2.395000000000000000e+02,3.167286425471441014e+00
2.400000000000000000e+02,3.685057168535391003e+00
2.405000000000000000e+02,4.501915226959797955e+00
2.410000000000000000e+02,5.670971495221572845e+00
2.415000000000000000e+02,6.470614596362243454e+00
2.420000000000000000e+02,6.399130632920966733e+00
2.425000000000000000e+02,6.370043060015855296e+00
2.430000000000000000e+02,7.290440125663845805e+00
2.435000000000000000e+02,8.744798393134834313e+00
2.440000000000000000e+02,9.793148222361175215e+00
2.445000000000000000e+02,1.116283998535696576e+01
2.450000000000000000e+02,1.261283354769674503e+01
2.455000000000000000e+02,1.355874804139928536e+01
2.460000000000000000e+02,1.433782494279535769e+01
2.465000000000000000e+02,1.459250353087413998e+01
2.470000000000000000e+02,1.437332162462366725e+01
2.475000000000000000e+02,1.322283067278281443e+01
2.480000000000000000e+02,1.108604879867123216e+01
2.485000000000000000e+02,9.081484057276197674e+00
2.490000000000000000e+02,8.060181566372579098e+00
2.495000000000000000e+02,7.654946800303600085e+00
2.500000000000000000e+02,7.109426815456680870e+00
2.505000000000000000e+02,6.550449311034266309e+00
2.510000000000000000e+02,6.419829263766427374e+00
2.515000000000000000e+02,6.785714857270646050e+00
2.520000000000000000e+02,7.466320703021477101e+00
2.525000000000000000e+02,8.470560305531302348e+00
2.530000000000000000e+02,9.424081706071461895e+00
2.535000000000000000e+02,9.493588152720962015e+00
2.540000000000000000e+02,8.832287748384505477e+00
2.545000000000000000e+02,8.005842953054385092e+00
2.550000000000000000e+02,7.678684879661863860e+00
2.555000000000000000e+02,8.055822262826701774e+00
2.560000000000000000e+02,8.737525089214306817e+00
2.565000000000000000e+02,9.167743997988932136e+00
2.570000000000000000e+02,9.149267073457362898e+00
2.575000000000000000e+02,8.629352975759152500e+00
2.580000000000000000e+02,7.660811721709974265e+00
