shotnumber	VL-charge_pC	VL-10 mrad charge_pC	VL-roi charge_pC	VL-peak angle x_mrad	VL-peak angle y_mrad	VL-fwhm angle x_mrad	VL-fwhm angle y_mrad
8.40000e+01	1.65555e+02	1.07005e+02	4.54604e+00	2.06948e+00	-3.82265e+00	1.37615e+01	6.30738e+00
8.50000e+01	1.66048e+02	1.06094e+02	4.28316e+00	1.11382e+00	-3.63152e+00	1.31881e+01	5.92511e+00
8.60000e+01	1.24040e+02	8.64201e+01	3.64962e+00	1.68722e+00	-3.63152e+00	1.35704e+01	7.07191e+00
8.70000e+01	1.60824e+02	1.05528e+02	4.06494e+00	5.40424e-01	-3.82265e+00	1.45261e+01	7.07191e+00
8.80000e+01	1.60734e+02	1.03979e+02	3.36805e+00	3.49291e-01	-2.48472e+00	1.45261e+01	6.30738e+00
8.90000e+01	1.48180e+02	9.76166e+01	3.52378e+00	3.21628e+00	-2.86699e+00	1.35704e+01	6.30738e+00
9.00000e+01	1.35830e+02	9.55322e+01	3.43146e+00	3.21628e+00	-2.48472e+00	1.39527e+01	6.88077e+00
9.10000e+01	1.56572e+02	1.02742e+02	3.68187e+00	2.06948e+00	-3.24925e+00	1.50995e+01	8.40983e+00
9.20000e+01	1.64621e+02	1.01150e+02	3.50711e+00	3.78968e+00	-3.24925e+00	1.54817e+01	6.68964e+00
9.30000e+01	1.78355e+02	1.10138e+02	4.22604e+00	3.98081e+00	-3.63152e+00	1.41438e+01	6.68964e+00
9.40000e+01	1.70458e+02	1.07461e+02	3.46329e+00	3.98081e+00	-2.86699e+00	1.43349e+01	7.83644e+00
9.50000e+01	1.50999e+02	9.70717e+01	3.31494e+00	2.64288e+00	-4.01378e+00	1.35704e+01	9.17436e+00
9.60000e+01	1.72206e+02	1.08698e+02	4.17195e+00	2.83401e+00	-3.24925e+00	1.41438e+01	6.68964e+00
9.70000e+01	1.60538e+02	1.03900e+02	4.12779e+00	2.45175e+00	-3.44039e+00	1.45261e+01	6.30738e+00
9.80000e+01	1.49797e+02	8.94877e+01	3.46595e+00	-9.88637e-01	-3.82265e+00	1.52906e+01	6.11624e+00
9.90000e+01	1.28311e+02	8.51050e+01	3.39240e+00	1.68722e+00	-4.39605e+00	1.35704e+01	7.45417e+00
1.00000e+02	1.49616e+02	9.56877e+01	3.37299e+00	1.58158e-01	-6.11624e+00	1.24236e+01	8.40983e+00
1.01000e+02	1.51978e+02	9.45281e+01	3.36512e+00	2.06948e+00	-4.58718e+00	1.22325e+01	1.01300e+01
1.02000e+02	1.60668e+02	9.79300e+01	3.50033e+00	1.68722e+00	-3.44039e+00	1.35704e+01	9.17436e+00
1.03000e+02	1.60612e+02	9.86767e+01	3.74694e+00	3.78968e+00	-5.16058e+00	1.39527e+01	8.21870e+00
1.04000e+02	1.57770e+02	9.62106e+01	3.64731e+00	3.78968e+00	-5.92511e+00	1.24236e+01	8.79210e+00
1.05000e+02	1.45738e+02	8.52246e+01	3.18536e+00	5.31874e+00	-5.35171e+00	1.37615e+01	8.60097e+00
1.06000e+02	1.71769e+02	9.88434e+01	3.79127e+00	5.89214e+00	-4.39605e+00	1.24236e+01	7.07191e+00
1.07000e+02	1.46586e+02	9.03340e+01	3.81603e+00	3.59855e+00	-4.96945e+00	1.29970e+01	7.83644e+00
1.08000e+02	1.32529e+02	7.99969e+01	3.42084e+00	3.78968e+00	-5.92511e+00	1.28059e+01	6.30738e+00
1.09000e+02	1.56420e+02	9.19900e+01	3.40113e+00	3.98081e+00	-4.96945e+00	1.37615e+01	8.79210e+00
1.10000e+02	1.50664e+02	8.81872e+01	3.56004e+00	3.02515e+00	-5.54285e+00	1.14680e+01	8.60097e+00
1.11000e+02	1.48035e+02	8.64468e+01	3.06049e+00	1.87835e+00	-6.68964e+00	1.08946e+01	1.01300e+01
1.12000e+02	1.49032e+02	8.49041e+01	3.36988e+00	3.78968e+00	-6.88077e+00	1.12768e+01	8.40983e+00
1.13000e+02	1.61233e+02	9.33236e+01	3.74077e+00	2.83401e+00	-6.30738e+00	1.12768e+01	8.21870e+00
1.14000e+02	1.55877e+02	9.20215e+01	3.68871e+00	2.06948e+00	-5.92511e+00	9.93890e+00	9.74776e+00
1.15000e+02	1.65478e+02	9.59088e+01	4.12986e+00	2.83401e+00	-5.73398e+00	9.93890e+00	9.17436e+00
1.16000e+02	1.52525e+02	8.76300e+01	3.27231e+00	2.83401e+00	-6.11624e+00	1.03212e+01	9.93890e+00
1.17000e+02	1.51183e+02	8.48184e+01	3.08323e+00	4.36308e+00	-6.68964e+00	1.18502e+01	8.79210e+00
1.18000e+02	1.55469e+02	8.42905e+01	3.13658e+00	4.36308e+00	-6.68964e+00	1.16591e+01	8.79210e+00
1.19000e+02	1.58183e+02	9.18806e+01	3.65093e+00	3.02515e+00	-5.16058e+00	1.12768e+01	9.74776e+00
1.20000e+02	1.56394e+02	9.02241e+01	3.94595e+00	2.06948e+00	-5.54285e+00	9.74776e+00	8.98323e+00
1.21000e+02	1.53612e+02	8.91914e+01	4.04390e+00	2.45175e+00	-5.35171e+00	1.10857e+01	8.02757e+00
1.22000e+02	1.40134e+02	8.24062e+01	4.06182e+00	3.21628e+00	-4.39605e+00	1.18502e+01	7.07191e+00
1.23000e+02	1.45885e+02	8.60994e+01	4.13141e+00	3.40741e+00	-5.35171e+00	1.08946e+01	8.02757e+00
1.24000e+02	1.53088e+02	8.93947e+01	4.05293e+00	3.02515e+00	-5.73398e+00	9.36550e+00	8.79210e+00
1.25000e+02	1.55142e+02	8.87268e+01	3.65048e+00	3.98081e+00	-5.92511e+00	1.03212e+01	8.79210e+00
1.26000e+02	1.42021e+02	7.83535e+01	2.99230e+00	3.78968e+00	-6.68964e+00	1.16591e+01	7.64530e+00
1.27000e+02	1.48295e+02	8.01562e+01	2.90079e+00	5.12761e+00	-6.88077e+00	1.16591e+01	7.83644e+00
1.28000e+02	1.51455e+02	8.35324e+01	2.86009e+00	5.50987e+00	-6.68964e+00	1.08946e+01	7.64530e+00
1.29000e+02	1.56086e+02	8.69365e+01	2.57769e+00	5.70100e+00	-6.68964e+00	1.01300e+01	7.83644e+00
1.30000e+02	1.51218e+02	8.24437e+01	3.42098e+00	4.74534e+00	-6.11624e+00	1.18502e+01	7.26304e+00
1.31000e+02	1.31992e+02	7.55878e+01	3.25445e+00	3.78968e+00	-6.11624e+00	1.07034e+01	6.11624e+00
1.32000e+02	1.38167e+02	7.70670e+01	3.01059e+00	4.17194e+00	-6.49851e+00	1.14680e+01	6.88077e+00
1.33000e+02	1.34341e+02	7.61835e+01	3.34997e+00	3.98081e+00	-5.92511e+00	1.12768e+01	7.45417e+00
1.34000e+02	1.11746e+02	6.72517e+01	2.47694e+00	4.17194e+00	-7.07191e+00	8.98323e+00	6.68964e+00
1.35000e+02	1.24492e+02	7.10913e+01	2.31925e+00	3.78968e+00	-7.07191e+00	8.98323e+00	6.88077e+00
1.36000e+02	1.16594e+02	6.92849e+01	1.55056e+00	3.40741e+00	-7.83644e+00	1.01300e+01	6.68964e+00
1.37000e+02	1.46491e+02	7.86007e+01	2.80127e+00	5.70100e+00	-6.49851e+00	1.07034e+01	7.83644e+00
1.38000e+02	1.38243e+02	8.07797e+01	3.27965e+00	4.93647e+00	-6.30738e+00	1.10857e+01	6.49851e+00
1.39000e+02	1.46431e+02	8.16379e+01	3.49186e+00	3.98081e+00	-5.92511e+00	1.05123e+01	6.88077e+00
1.40000e+02	1.38731e+02	7.81167e+01	3.45080e+00	3.98081e+00	-6.11624e+00	1.07034e+01	7.83644e+00
