location_mm	Angle_mrad	Charge_pC	ChargeDen_pC/mrad
9.12490e+00	6.08327e+00	1.98194e+02	1.03695e+03
9.41160e+00	6.27440e+00	1.94269e+02	1.01641e+03
9.69830e+00	6.46553e+00	1.90195e+02	9.95096e+02
9.98500e+00	6.65667e+00	1.86067e+02	9.73499e+02
1.02717e+01	6.84780e+00	1.81796e+02	9.51152e+02
1.05584e+01	7.03893e+00	1.77290e+02	9.27575e+02
1.08451e+01	7.23006e+00	1.73095e+02	9.05629e+02
1.11318e+01	7.42120e+00	1.68791e+02	8.83109e+02
1.14185e+01	7.61233e+00	1.64457e+02	8.60433e+02
1.17052e+01	7.80346e+00	1.59670e+02	8.35389e+02
1.19919e+01	7.99459e+00	1.54961e+02	8.10754e+02
1.22786e+01	8.18573e+00	1.50277e+02	7.86247e+02
1.25653e+01	8.37686e+00	1.45511e+02	7.61311e+02
1.28520e+01	8.56799e+00	1.40785e+02	7.36584e+02
1.31387e+01	8.75913e+00	1.36062e+02	7.11874e+02
1.34254e+01	8.95026e+00	1.31612e+02	6.88590e+02
1.37121e+01	9.14139e+00	1.27159e+02	6.65292e+02
1.39988e+01	9.33252e+00	1.22804e+02	6.42509e+02
1.42855e+01	9.52366e+00	1.18490e+02	6.19935e+02
1.45722e+01	9.71479e+00	1.14116e+02	5.97054e+02
1.48589e+01	9.90592e+00	1.09866e+02	5.74813e+02
1.51456e+01	1.00971e+01	1.05658e+02	5.52799e+02
1.54323e+01	1.02882e+01	1.01677e+02	5.31970e+02
1.57190e+01	1.04793e+01	9.78183e+01	5.11782e+02
1.60057e+01	1.06705e+01	9.39346e+01	4.91463e+02
1.62924e+01	1.08616e+01	9.00735e+01	4.71262e+02
1.65791e+01	1.10527e+01	8.60084e+01	4.49993e+02
1.68658e+01	1.12438e+01	8.20353e+01	4.29206e+02
1.71525e+01	1.14350e+01	7.77828e+01	4.06957e+02
1.74392e+01	1.16261e+01	7.36610e+01	3.85392e+02
1.77259e+01	1.18172e+01	6.94769e+01	3.63501e+02
1.80126e+01	1.20084e+01	6.53164e+01	3.41733e+02
1.82993e+01	1.21995e+01	6.13193e+01	3.20821e+02
1.85860e+01	1.23906e+01	5.75438e+01	3.01068e+02
1.88727e+01	1.25818e+01	5.38301e+01	2.81638e+02
1.91594e+01	1.27729e+01	5.03116e+01	2.63229e+02
1.94461e+01	1.29640e+01	4.71489e+01	2.46682e+02
1.97328e+01	1.31552e+01	4.41115e+01	2.30790e+02
2.00195e+01	1.33463e+01	4.13891e+01	2.16546e+02
2.03062e+01	1.35374e+01	3.88784e+01	2.03411e+02
2.05929e+01	1.37286e+01	3.66533e+01	1.91769e+02
2.08796e+01	1.39197e+01	3.47256e+01	1.81683e+02
2.11663e+01	1.41108e+01	3.29274e+01	1.72275e+02
2.14530e+01	1.43020e+01	3.13828e+01	1.64194e+02
2.17397e+01	1.44931e+01	2.99756e+01	1.56832e+02
2.20264e+01	1.46842e+01	2.87182e+01	1.50253e+02
2.23131e+01	1.48754e+01	2.76175e+01	1.44494e+02
2.25998e+01	1.50665e+01	2.66077e+01	1.39211e+02
2.28865e+01	1.52576e+01	2.57352e+01	1.34646e+02
2.31731e+01	1.54488e+01	2.48611e+01	1.30073e+02
2.34598e+01	1.56399e+01	2.41529e+01	1.26367e+02
2.37465e+01	1.58310e+01	2.34165e+01	1.22515e+02
2.40332e+01	1.60222e+01	2.27011e+01	1.18771e+02
2.43199e+01	1.62133e+01	2.21420e+01	1.15846e+02
2.46066e+01	1.64044e+01	2.15588e+01	1.12795e+02
2.48933e+01	1.65956e+01	2.09726e+01	1.09728e+02
2.51800e+01	1.67867e+01	2.05033e+01	1.07272e+02
2.54667e+01	1.69778e+01	1.99393e+01	1.04322e+02
2.57534e+01	1.71690e+01	1.94733e+01	1.01884e+02
2.60401e+01	1.73601e+01	1.90129e+01	9.94749e+01
2.63268e+01	1.75512e+01	1.86197e+01	9.74175e+01
2.66135e+01	1.77424e+01	1.81589e+01	9.50070e+01
2.69002e+01	1.79335e+01	1.77483e+01	9.28588e+01
2.71869e+01	1.81246e+01	1.73230e+01	9.06334e+01
2.74736e+01	1.83158e+01	1.69284e+01	8.85688e+01
2.77603e+01	1.85069e+01	1.65615e+01	8.66491e+01
2.80470e+01	1.86980e+01	1.61963e+01	8.47384e+01
2.83337e+01	1.88892e+01	1.58647e+01	8.30036e+01
2.86204e+01	1.90803e+01	1.55309e+01	8.12571e+01
2.89071e+01	1.92714e+01	1.52268e+01	7.96662e+01
2.91938e+01	1.94626e+01	1.49014e+01	7.79635e+01
2.94805e+01	1.96537e+01	1.45983e+01	7.63780e+01
2.97672e+01	1.98448e+01	1.42953e+01	7.47928e+01
3.00539e+01	2.00359e+01	1.40475e+01	7.34963e+01
3.03406e+01	2.02271e+01	1.37235e+01	7.18008e+01
3.06273e+01	2.04182e+01	1.34723e+01	7.04865e+01
3.09140e+01	2.06093e+01	1.32277e+01	6.92071e+01
3.12007e+01	2.08005e+01	1.29593e+01	6.78027e+01
3.14874e+01	2.09916e+01	1.27483e+01	6.66985e+01
3.17741e+01	2.11827e+01	1.25454e+01	6.56373e+01
3.20608e+01	2.13739e+01	1.22653e+01	6.41719e+01
3.23475e+01	2.15650e+01	1.20421e+01	6.30042e+01
3.26342e+01	2.17561e+01	1.18570e+01	6.20357e+01
3.29209e+01	2.19473e+01	1.16156e+01	6.07722e+01
3.32076e+01	2.21384e+01	1.14045e+01	5.96680e+01
3.34943e+01	2.23295e+01	1.12377e+01	5.87951e+01
3.37810e+01	2.25207e+01	1.10425e+01	5.77739e+01
3.40677e+01	2.27118e+01	1.08525e+01	5.67800e+01
3.43544e+01	2.29029e+01	1.06945e+01	5.59534e+01
3.46411e+01	2.30941e+01	1.05288e+01	5.50865e+01
3.49278e+01	2.32852e+01	1.03519e+01	5.41608e+01
3.52145e+01	2.34763e+01	1.01610e+01	5.31619e+01
3.55012e+01	2.36675e+01	9.99487e+00	5.22929e+01
3.57879e+01	2.38586e+01	9.86156e+00	5.15954e+01
3.60746e+01	2.40497e+01	9.67184e+00	5.06028e+01
3.63613e+01	2.42409e+01	9.53411e+00	4.98822e+01
3.66480e+01	2.44320e+01	9.37463e+00	4.90478e+01
3.69347e+01	2.46231e+01	9.29779e+00	4.86458e+01
3.72214e+01	2.48143e+01	9.17102e+00	4.79825e+01
3.75081e+01	2.50054e+01	9.03533e+00	4.72726e+01
3.77948e+01	2.51965e+01	8.89946e+00	4.65617e+01
3.80815e+01	2.53877e+01	8.85634e+00	4.63361e+01
3.83682e+01	2.55788e+01	8.74539e+00	4.57556e+01
3.86549e+01	2.57699e+01	8.59018e+00	4.49435e+01
3.89416e+01	2.59611e+01	8.49672e+00	4.44546e+01
3.92283e+01	2.61522e+01	8.37239e+00	4.38041e+01
3.95150e+01	2.63433e+01	8.26337e+00	4.32337e+01
